Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-08-05,MARUTI,EQ,7102.9,7072.0,7079.95,7006.0,7042.55,7027.55,7040.06,495133,348576401770000.0,57473,226912,0.4583
2021-08-06,MARUTI,EQ,7027.55,7054.8,7168.5,7042.55,7108.0,7100.8,7117.96,517575,368407753825000.0,59187,180669,0.34909999999999997
2021-08-09,MARUTI,EQ,7100.8,7135.0,7165.0,7038.0,7092.0,7081.75,7086.34,264983,187775845430000.0,28989,112149,0.4232
2021-08-10,MARUTI,EQ,7081.75,7045.2,7104.9,6995.0,7006.0,7001.95,7032.13,356726,250854383410000.0,45106,185930,0.5212
2021-08-11,MARUTI,EQ,7001.95,7002.0,7095.0,6925.15,7023.8,7021.5,6993.36,414311,289742738665000.0,53559,169439,0.409
2021-08-12,MARUTI,EQ,7021.5,7022.0,7084.8,6985.0,7009.5,7012.0,7023.98,330283,231990098260000.0,44040,141166,0.4274
2021-08-13,MARUTI,EQ,7012.0,7030.0,7049.9,6973.85,6997.55,7002.2,7007.1,431784,302555455750000.0,60651,233255,0.5402
2021-08-16,MARUTI,EQ,7002.2,6982.5,7018.0,6810.0,6820.35,6826.85,6879.64,750966,516637333435000.06,91331,392733,0.523
2021-08-17,MARUTI,EQ,6826.85,6800.0,6943.0,6746.4,6890.0,6885.4,6817.62,752517,513037793630000.0,91340,310735,0.4129
2021-08-18,MARUTI,EQ,6885.4,6943.75,6943.75,6820.0,6841.6,6840.1,6869.05,434144,298215541300000.0,46160,179992,0.4146
2021-08-20,MARUTI,EQ,6840.1,6815.0,6914.65,6780.0,6839.0,6850.9,6857.99,657982,451243404695000.0,89530,352694,0.536
2021-08-23,MARUTI,EQ,6850.9,6905.0,6918.0,6801.0,6835.0,6825.9,6847.81,537302,367934182435000.0,45522,292131,0.5437
2021-08-24,MARUTI,EQ,6825.9,6789.5,6852.0,6740.6,6795.0,6803.2,6799.56,646993,439926463914999.94,62582,232782,0.35979999999999995
2021-08-25,MARUTI,EQ,6803.2,6838.0,6838.0,6700.0,6714.0,6711.45,6753.74,722194,487751273435000.06,79601,436133,0.6039
2021-08-26,MARUTI,EQ,6711.45,6700.0,6701.35,6591.0,6609.95,6608.6,6625.81,1199429,794718789940000.0,93067,796214,0.6638
2021-08-27,MARUTI,EQ,6608.6,6629.75,6694.6,6600.0,6628.4,6624.85,6629.08,1428388,946889844560000.0,76154,998109,0.6988
2021-08-30,MARUTI,EQ,6624.85,6690.0,6810.0,6653.85,6802.0,6796.9,6752.74,819447,553351185125000.0,72020,399510,0.4875
2021-08-31,MARUTI,EQ,6796.9,6820.0,6872.0,6763.55,6836.3,6846.1,6839.16,938326,641736106660000.0,68746,583067,0.6214000000000001
2021-09-01,MARUTI,EQ,6846.1,6799.95,6820.0,6702.35,6786.0,6784.9,6764.87,1108476,749870141295000.0,124234,609996,0.5503
2021-09-02,MARUTI,EQ,6784.9,6852.7,6858.95,6708.2,6780.0,6792.9,6766.53,741052,501435083120000.0,76284,407456,0.5498
2021-09-03,MARUTI,EQ,6792.9,6770.0,6958.0,6751.6,6869.0,6863.1,6878.17,1196077,822682115680000.0,128742,530274,0.44329999999999997
2021-09-06,MARUTI,EQ,6863.1,6925.0,6954.0,6838.0,6840.0,6846.9,6890.45,897444,618379617050000.0,91930,545747,0.6081000000000001
2021-09-07,MARUTI,EQ,6846.9,6879.9,6929.9,6853.7,6878.0,6877.15,6879.83,743783,511710168770000.0,114167,483960,0.6507
2021-09-08,MARUTI,EQ,6877.15,6852.1,6858.35,6756.0,6780.0,6781.25,6797.04,847767,576230872600000.0,115677,460250,0.5429
2021-09-09,MARUTI,EQ,6781.25,6750.0,6818.45,6740.0,6800.0,6802.25,6784.97,515702,349902375320000.0,54757,233568,0.4529
2021-09-13,MARUTI,EQ,6802.25,6835.5,6895.45,6813.3,6873.6,6873.7,6858.54,508397,348686059640000.0,60477,290602,0.5716
2021-09-14,MARUTI,EQ,6873.7,6910.0,6955.0,6851.1,6893.0,6894.45,6905.55,817280,564376579545000.0,63253,439314,0.5375
2021-09-15,MARUTI,EQ,6894.45,6938.0,6938.0,6880.0,6913.05,6909.0,6904.1,310138,214122402250000.0,40109,138313,0.446
2021-09-16,MARUTI,EQ,6909.0,6913.3,6949.0,6870.0,6930.0,6930.95,6907.34,556648,384495460355000.0,61217,356173,0.6399
2021-09-17,MARUTI,EQ,6930.95,6955.0,7064.75,6950.0,7014.9,7014.45,7016.13,980793,688137230465000.0,93525,425418,0.4337
2021-09-20,MARUTI,EQ,7014.45,6979.9,7015.45,6906.2,6942.5,6950.4,6961.98,550405,383190951880000.0,59177,286725,0.5209
2021-09-21,MARUTI,EQ,6950.4,6912.5,6939.7,6741.0,6780.0,6777.0,6788.91,1085249,736765583275000.0,135019,694586,0.64
2021-09-22,MARUTI,EQ,6777.0,6820.0,6846.0,6785.0,6821.0,6831.0,6815.93,548623,373937618185000.0,51499,310469,0.5659000000000001
